s2,s1,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned,C_sequences_prct.y,C_sequences_prct.x,j_bk,wp_bk,zp_bk,d_bk,j_ucseq_ak,wp_ucseq_ak,zp_ucseq_ak,d_ucseq_ak,j_cseq_ak,wp_cseq_ak,zp_cseq_ak,d_cseq_ak
Drosophila_biarmipes,Drosophila_simulans,0.09589761,0.094809255,0.096129292,0.094794299,0.096114999,5.74,5.48,0.0070718,14499516.97,94199737.94,0.094794299,0.0066636,13447709.56,88579318.33,0.096114999,0.003652496,596320.8146,6321223.612,0.099678411
Drosophila_biarmipes,Drosophila_virilis,0.163325085,0.151245211,0.163220328,0.151196515,0.163186274,5.74,15.04,0.0007966,11204822.52,87404193.66,0.151196515,0.0004867,9564915.597,78545945.24,0.163186274,0.002929122,926098.6896,9501365.158,0.106986689
Drosophila_biarmipes,Drosophila_willistoni,0.161127995,0.152792786,0.159663318,0.152753593,0.159624341,5.74,11,0.0007303,11126819.55,89431107.64,0.152753593,0.0005691,10170255.55,81483143.7,0.159624341,0.001504028,608791.0318,8559583.902,0.117012739
Drosophila_biarmipes,Drosophila_yakuba,0.099188513,0.09865707,0.100211655,0.098633567,0.100188651,5.74,5.91,0.0059483,13868129.04,93787179.82,0.098633567,0.0055706,12847932.24,87910204.82,0.100188651,0.003456212,576933.0076,6529654.768,0.099374811
Drosophila_bipectinata,Drosophila_ananassae,0.069793176,0.066442082,0.064483514,0.066417251,0.064449376,10.4,12.18,0.015435,11161927.25,87221196.37,0.066417251,0.0152057,9190668.152,77800214.44,0.064449376,0.006496651,1526724.85,9746053.876,0.097762625
Drosophila_bipectinata,Drosophila_biarmipes,0.121799424,0.106755805,0.107484844,0.10671362,0.107444414,10.4,5.74,0.0040944,13019815.42,96583109.42,0.10671362,0.0038884,11631813.06,88563619.93,0.107444414,0.003352879,874375.7935,8646172.227,0.104163592
Drosophila_bipectinata,Drosophila_bipectinata,0,0,0,0,0,10.4,10.4,,,,,,,,,,,,
Drosophila_bipectinata,Drosophila_erecta,0.123456883,0.113008547,0.115526825,0.112974839,0.11548801,10.4,6.03,0.0036107,14116352.15,95435613.56,0.112974839,0.0032252,12613348.33,87395210.3,0.11548801,0.004164709,964409.9388,8786365.777,0.100280084
Drosophila_bipectinata,Drosophila_eugracilis,0.118106578,0.088746321,0.106676165,0.088717541,0.106644141,10.4,9.07,0.0072645,12166456.63,94698968.19,0.088717541,0.0037902,10603329.63,85149534.79,0.106644141,0.032777677,1087723.245,10204282.92,0.03832805
Drosophila_bipectinata,Drosophila_mauritiana,0.119579046,0.102953921,0.119867207,0.102908372,0.119826154,10.4,6.61,0.0050493,13522620.3,92887647.76,0.102908372,0.0027293,12055455.05,84710703.22,0.119826154,0.024165097,957378.9929,8839624.779,0.047970081
