Pair,bin,cl,variable,est,Kraken,k,D,error,alpha
Large,05-15,5,ucseq_Drosophila_yakuba_downSmpld,0.063175893,TRUE,35,0.062705933,0.007494666,0
Large,05-15,2,ucseq_Drosophila_yakuba_downSmpld,0.063087214,TRUE,35,0.062705933,0.006080461,0
Large,05-15,1,ucseq_Drosophila_yakuba_downSmpld,0.063075498,TRUE,35,0.062705933,0.005893621,0
Large,05-15,0,ucseq_Drosophila_yakuba_downSmpld,0.063076267,TRUE,35,0.062705933,0.005905885,0
Large,15-25,25,ucseq_Drosophila_yakuba_downSmpld,0.067160802,TRUE,35,0.062705933,0.07104382,0
Large,15-25,20,ucseq_Drosophila_yakuba_downSmpld,0.065892223,TRUE,35,0.062705933,0.050813214,0
Large,15-25,15,ucseq_Drosophila_yakuba_downSmpld,0.064821856,TRUE,35,0.062705933,0.033743585,0
Large,15-25,10,ucseq_Drosophila_yakuba_downSmpld,0.0638883,TRUE,35,0.062705933,0.018855744,0
Large,15-25,5,ucseq_Drosophila_yakuba_downSmpld,0.06330742,TRUE,35,0.062705933,0.009592186,0
Large,15-25,2,ucseq_Drosophila_yakuba_downSmpld,0.06311751,TRUE,35,0.062705933,0.006563605,0
Large,15-25,1,ucseq_Drosophila_yakuba_downSmpld,0.063089233,TRUE,35,0.062705933,0.006112659,0
Large,15-25,0,ucseq_Drosophila_yakuba_downSmpld,0.063076267,TRUE,35,0.062705933,0.005905885,0
Large,00-05,60,ucseq_Drosophila_yakuba_downSmpld.1,0.065607277,TRUE,32,0.062705933,0.046269051,0
Large,00-05,50,ucseq_Drosophila_yakuba_downSmpld.1,0.064384466,TRUE,32,0.062705933,0.026768328,0
Large,00-05,40,ucseq_Drosophila_yakuba_downSmpld.1,0.063989982,TRUE,32,0.062705933,0.020477313,0
Large,00-05,30,ucseq_Drosophila_yakuba_downSmpld.1,0.063545087,TRUE,32,0.062705933,0.01338237,0
Large,00-05,25,ucseq_Drosophila_yakuba_downSmpld.1,0.063545129,TRUE,32,0.062705933,0.01338304,0
Large,00-05,20,ucseq_Drosophila_yakuba_downSmpld.1,0.063414698,TRUE,32,0.062705933,0.011302997,0
Large,00-05,15,ucseq_Drosophila_yakuba_downSmpld.1,0.063408406,TRUE,32,0.062705933,0.011202656,0
Large,00-05,10,ucseq_Drosophila_yakuba_downSmpld.1,0.0633415,TRUE,32,0.062705933,0.010135676,0
Large,00-05,5,ucseq_Drosophila_yakuba_downSmpld.1,0.063305133,TRUE,32,0.062705933,0.009555715,0
Large,00-05,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063287451,TRUE,32,0.062705933,0.009273732,0
Large,00-05,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063296105,TRUE,32,0.062705933,0.009411741,0
Large,00-05,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,00-00,25,ucseq_Drosophila_yakuba_downSmpld.1,0.063347149,TRUE,32,0.062705933,0.010225763,0
Large,00-00,20,ucseq_Drosophila_yakuba_downSmpld.1,0.063289344,TRUE,32,0.062705933,0.00930392,0
Large,00-00,15,ucseq_Drosophila_yakuba_downSmpld.1,0.063340939,TRUE,32,0.062705933,0.010126729,0
Large,00-00,10,ucseq_Drosophila_yakuba_downSmpld.1,0.063303338,TRUE,32,0.062705933,0.009527089,0
Large,00-00,5,ucseq_Drosophila_yakuba_downSmpld.1,0.063296078,TRUE,32,0.062705933,0.00941131,0
Large,00-00,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063284645,TRUE,32,0.062705933,0.009228983,0
Large,00-00,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063296043,TRUE,32,0.062705933,0.009410752,0
Large,00-00,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,05-15,25,ucseq_Drosophila_yakuba_downSmpld.1,0.064980187,TRUE,32,0.062705933,0.036268562,0
Large,05-15,20,ucseq_Drosophila_yakuba_downSmpld.1,0.06438404,TRUE,32,0.062705933,0.026761535,0
Large,05-15,15,ucseq_Drosophila_yakuba_downSmpld.1,0.063982471,TRUE,32,0.062705933,0.020357531,0
Large,05-15,10,ucseq_Drosophila_yakuba_downSmpld.1,0.063596712,TRUE,32,0.062705933,0.014205657,0
Large,05-15,5,ucseq_Drosophila_yakuba_downSmpld.1,0.06337808,TRUE,32,0.062705933,0.010719034,0
Large,05-15,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063306771,TRUE,32,0.062705933,0.009581837,0
Large,05-15,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063300661,TRUE,32,0.062705933,0.009484398,0
Large,05-15,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,15-25,25,ucseq_Drosophila_yakuba_downSmpld.1,0.067179208,TRUE,32,0.062705933,0.071337349,0
Large,15-25,20,ucseq_Drosophila_yakuba_downSmpld.1,0.065946573,TRUE,32,0.062705933,0.051679958,0
Large,15-25,15,ucseq_Drosophila_yakuba_downSmpld.1,0.064931461,TRUE,32,0.062705933,0.035491506,0
Large,15-25,10,ucseq_Drosophila_yakuba_downSmpld.1,0.064052893,TRUE,32,0.062705933,0.021480583,0
Large,15-25,5,ucseq_Drosophila_yakuba_downSmpld.1,0.063507269,TRUE,32,0.062705933,0.012779269,0
Large,15-25,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063332722,TRUE,32,0.062705933,0.009995689,0
Large,15-25,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063309167,TRUE,32,0.062705933,0.009620047,0
Large,15-25,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,00-05,60,ucseq_Drosophila_yakuba_downSmpld.2,0.06884435,TRUE,29,0.062705933,0.097892124,0
Large,00-05,50,ucseq_Drosophila_yakuba_downSmpld.2,0.067398737,TRUE,29,0.062705933,0.074838277,0
Large,00-05,40,ucseq_Drosophila_yakuba_downSmpld.2,0.067115254,TRUE,29,0.062705933,0.070317445,0
Large,00-05,30,ucseq_Drosophila_yakuba_downSmpld.2,0.066574309,TRUE,29,0.062705933,0.061690749,0
