s1,s2,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned
Drosophila_mauritiana,Drosophila_eugracilis,0.092905308,0.086369863,0.092466564,0.086345212,0.092451393
Drosophila_mojavensis,Drosophila_eugracilis,0.163035742,0.150699187,0.163678985,0.150724068,0.16366797
Drosophila_persimilis,Drosophila_eugracilis,0.133921329,0.11303863,0.135224418,0.113011619,0.135215683
Drosophila_pseudoobscura,Drosophila_eugracilis,0.133580425,0.124936563,0.134823988,0.124929213,0.13481712
Drosophila_sechellia,Drosophila_eugracilis,0.09468378,0.089859556,0.095358026,0.08982541,0.095323617
Drosophila_simulans,Drosophila_eugracilis,0.09234363,0.090352207,0.091964654,0.090330538,0.091950349
Drosophila_virilis,Drosophila_eugracilis,0.160967205,0.101497531,0.159742796,0.101478196,0.159748142
Drosophila_willistoni,Drosophila_eugracilis,0.157453571,0.119277067,0.154792483,0.119232004,0.154738495
Drosophila_yakuba,Drosophila_eugracilis,0.095903834,0.092839024,0.09581027,0.092806943,0.095776827
Drosophila_ananassae,Drosophila_mauritiana,0.121489162,0.121948746,0.12351337,0.121931767,0.123483925
Drosophila_biarmipes,Drosophila_mauritiana,0.096407612,0.095594348,0.09695515,0.095575777,0.096938133
Drosophila_bipectinata,Drosophila_mauritiana,0.119579046,0.102953921,0.119867207,0.102908372,0.119826154
Drosophila_erecta,Drosophila_mauritiana,0.062564954,0.061212016,0.062222534,0.061194071,0.062201377
Drosophila_eugracilis,Drosophila_mauritiana,0.092905308,0.086369863,0.092466564,0.086345212,0.092451393
Drosophila_mauritiana,Drosophila_mauritiana,0,0,0,0,0
Drosophila_mojavensis,Drosophila_mauritiana,0.147289795,0.152676673,0.164637723,0.152722424,0.164707725
Drosophila_persimilis,Drosophila_mauritiana,0.134057404,0.115877635,0.137933265,0.115850698,0.137935089
Drosophila_pseudoobscura,Drosophila_mauritiana,0.134056447,0.125240823,0.133921958,0.125224571,0.133920111
Drosophila_sechellia,Drosophila_mauritiana,0.022145109,0.019885632,0.02009631,0.01986863,0.020084089
Drosophila_simulans,Drosophila_mauritiana,0.018586115,0.016325541,0.016358236,0.016309439,0.01634151
Drosophila_virilis,Drosophila_mauritiana,0.161165521,0.103313212,0.162733728,0.103266784,0.162692534
Drosophila_willistoni,Drosophila_mauritiana,0.158425779,0.137595617,0.155074982,0.137553788,0.155039866
Drosophila_yakuba,Drosophila_mauritiana,0.063356058,0.060792451,0.061946428,0.06076964,0.061922432
Drosophila_ananassae,Drosophila_mojavensis,0.165416263,0.162329554,0.167537012,0.162290863,0.16750588
